id	text	label
1	장난꾸러기 닐스는 오늘도 이곳저곳을 기웃거립니다.	0
2	닐스는 호기심이 무척 많은 아이랍니다.	1
3	집에서 기르는 동물들에게 친구가 되자며 짖궂은 장난을 치기도 했어요.	2
4	그러나 사람들은 닐스가 약한 동물을 괴롭힌다고 생각하여 그를 못된 말썽꾸러기라고 불렀답니다.	2
5	그렇다 보니 닐스는 부모님에게 자주 혼이 났어요.	2
6	"""이 녀석, 오늘도 장난을 치면 창고에 갇힐 줄 알아!"""	2
7	그래도 닐스의 호기심은 여전했어요.	1
8	"""흠, 오늘은 닭이 뭘 하고 있을까?"""	0
9	닐스는 닭장으로 가서 닭의 엉덩이를 긴 막대로 찔러 보았어요.	2
10	닐스의 행동에 닭들이 이리저리 뛰어다녔지요.	0
11	금세 닭장 안은 아수라장이 되었지요.	2
12	그뿐만이 아니었어요.	0
13	응접실 구석에서 잠이 든 고양이의 목을 끈으로 묶어 나무 의자에 매달았어요.	2
14	그러고는 고양이의 수염을 건드려 잠을 깨웠지요.	2
15	그러자 깜짝 놀란 고양이가 방 안을 온통 난장판으로 만들었어요.	2
16	"""닐스 이 녀석, 오늘도 그냥 넘어가지 않는구나!"""	2
17	화가 난 엄마는 닐스를 다락방으로 올려 보냈어요.	2
18	"""엄마가 말하기 전까지는 내려오면 안 된다!"""	2
19	엄마는 왜 매일 화를 내시지?'	2
20	닐스는 다락방으로 쫓겨 와서도 자신이 무엇을 잘못했는지 몰랐답니다.	2
21	"""앗, 저건 뭐지?"""	0
22	닐스는 다락방에 쌓인 책들 속에서 한 권을 꺼내 자세히 살펴보았습니다.	0
23	동물들의 이야기가 실린 책이었어요.	0
24	그러다가 닐스는 의자에 기대어 잠이 들었어요.	0
25	한참을 자던 닐스는 깜짝 놀라 잠에서 깨어났습니다.	0
26	창밖에는 노을이 지고 있었지요.	0
27	"""아휴, 심심해!"""	2
28	닐스는 따분하여 기지개를 켰어요.	2
29	그때였어요.	0
30	"""너는 늘 심심한 모양이구나?"""	2
31	어디서 나타났는지 작은 요정이 닐스에게 말을 건넸어요.	0
32	"""너는 누구니?"""	0
33	닐스는 요정을 보자마자 잠자리 채로 잡으려고 했어요.	2
34	심심해하던 닐스에게 좋은 장난거리가 나타났으니까요.	1
35	심심하던 참이었는제 잘됐다!'	1
36	요정은 갑자기 달려드는 닐스를 피하려다 상자 위에서 미끄러지고 말았어요.	2
37	닐스가 잽싸게 잠자리 채로 요정을 잡았어요.	1
38	"""잡았다!"""	1
39	"하지만 닐스가 이렇게 외치는 순간, 몸이 전기 충격을 받은 것처럼 짜릿해졌어요."	2
40	그 충격으로 닐스는 뒤로 넘어지고 말았답니다.	2
41	"어이쿠, 내 몸이 왜 이러지!'"	2
42	닐스는 한참 후에야 자리에서 일어날 수 있었어요.	1
43	그런데 이게 어떻게 된 일일까요?	0
44	조금 전에 닐스가 앉아 잠이 들었던 의자가 집처럼 커져 있는게 아니겠어요!	1
45	잠들기 전에 보았던 책도 엄청나게 커져 있었지요.	1
46	이상하다! 왜 이렇게 물건들이 커진 거지?'	0
47	하지만 물건들이 커진 게 아니었어요.	0
48	닐스의 몸이 작아진 것이었지요.	2
49	조금 전에 자신이 잡으려고 했던 요정처럼 닐스도 작아졌습니다.	2
50	"""내 몸이 왜 이렇게 된 거지? "	0
51	"아까 그 요정을 찾아서 원래의 내 모습으로 바꿔 달라고 해야겠다!"""	0
52	걱정이 된 닐스는 요정을 찾아 다니기 시작했어요.	2
53	몸이 작아지자 한걸음이면 갈 수 있는 곳도 몇 걸음씩 걸어야만 했답니다.	2
54	또한 한번에 밀고 나가던 문도 쉽게 열 수 없었어요.	2
55	"""어휴, 문 열기도 힘드네."""	2
56	닐스는 요정을 찾기 위해 이리저리 두리번거렸어요.	0
57	그때 평소에 닐스가 자주 괴롭혔던 고양이가 나타났습니다.	2
58	"""닐스, 늘 나를 못 살게 굴었지!"	2
59	"절대로 가만두지 않겠다!"""	2
60	고양이가 발톱을 세우더니 닐스를 공격하려 했어요.	2
61	"""으약, 사…, 사람 살려!"""	2
62	닐스는 고양이에게 쫓겨 도망을 다녀야 했어요.	2
63	그러나 닐스는 몇 걸음도 못 가서 고양이에게 잡히고 말았지요.	2
64	그뿐만이 아니었어요.	2
65	예전에 닐스의 새총에 맞았던 참새도 날아와 닐스를 공격했답니다.	2
66	"""짹짹, 네가 늘 나를 새총으로 쏘았지!"""	2
67	"""으아악, 사람 살려!"	2
68	"엄마, 저 좀 도와주세요!"""	2
69	닐스는 온 힘을 다해 도망쳤어요.	2
70	고양이가 할퀴고 참새가 쪼는 바람에 닐스의 얼굴에는 피가 흐르고 있었지요.	2
71	닐스는 고양이와 참새를 피해서 외양간으로 숨어들었어요.	2
72	"""휴, 힘들다! 녀석들, 다시 커지기만 해 봐라!"""	2
73	"""오호, 닐스구나! 네가 그동안 우리 귀에 벌레도 집어넣고 꼬리에 성냥불을 붙이면서 못살게 굴었지!"""	2
74	닐스는 외양간에 가서도 젖소들에게 공격을 받았어요.	2
75	닐스는 외양간에서도 도망쳐 나와야 했답니다.	2
76	"""휴, 다들 나를 가만두지 않는군!"""	2
77	닐스는 조심스럽게 발걸음을 옮기며 잔디가 나 있는 곳으로 갔어요.	2
78	내 몸이 요술에 걸린 게 틀림없어!'	2
79	닐스는 이런 생각을 하며 닭장으로 갔지요.	0
80	그런데 닭들이 하는 말이 닐스에게 들렸어요.	0
81	"""저 녀석이 지난번에 우리의 엉덩이를 찌른 닐스야!"""	2
82	"""저 녀석에게 어떻게 복수를 해 줄까?"""	2
83	닭들은 모이를 먹다가 닐스를 보고는 그동안 쌓인 불만을 이야기했어요.	2
84	"으악, 닭들도 나를 싫어하나봐!'"	2
85	두려워진 닐스는 닭들과 멀리 떨어진 곳으로 도망쳤지요.	2
86	닐스는 또다시 요정을 찾아 나섰어요.	0
87	그러는 동안 닐스는 동물들을 괴롭혔던 것을 반성했어요.	1
88	그런데 그때 개가 닐스에게 달려들었답니다.	2
89	"""이 녀석 닐스!"	2
90	"네가 늘 내 밥그릇을 발로 차고, 도토리를 강제로 먹게 했지?"""	2
91	개는 무섭게 으르렁거렸어요.	2
92	그러고는 혓바닥으로 닐스의 얼굴을 핥으려고 했지요.	0
93	"""내가 잘못했어! "	2
94	"앞으로는 그러지 않을게…, 용서해 줘!"""	1
95	닐스는 그만 뒤로 넘어지면서 마당에 있던 거위의 등에 떨어졌습니다.	2
96	놀란 거위는 닐스를 뿌리치려고 날갯짓을 하다가 그만 기러기 떼와 함께 하늘을 날았어요.	0
97	"""거위야, 제발 나 좀 살려 줘!"	2
98	내가 그동안 동물들을 괴롭혀서 모두 나에게 복수를 하고 있어.	2
99	"다시는 그러지 않을게!"""	2
100	닐스는 진심으로 잘못을 뉘우치며 눈물을 흘렸어요.	1
101	그러자 하늘을 날던 거위가 호숫가에 내려앉았지요.	0
102	닐스는 커다란 나뭇잎에 물을 떠서 거위에게 주었어요.	1
103	"""거위야, 이거 마시고 힘내!"""	1
104	"""너도 친절을 베풀 줄 아는 착한 아이구나!"""	1
105	거위는 닐스의 친절한 행동에 감동했답니다.	1
106	밤이 되자 닐스와 거위는 호숫가 근처에서 잠을 청했어요.	0
107	그런데 그때 어디서 나타났는지 여우 한 마리가 거위를 잡아먹으려고 살금살금 다가오고 있었어요.	2
108	닐스는 여우를 발견하고 얼른 돌멩이를 던졌지요.	2
109	그런데 잠시 뒤에 여우가 근처에 있던 수달과 함께 나타났습니다.	2
110	"수달은 호수에서, 여우는 풀숲에서 동시에 거위를 공격했지요."	2
111	그러자 닐스는 나뭇가지를 휘둘러서 수달을 멀리 쫓아 버렸어요.	2
112	여우에게는 돌을 던져 몰아내 버렸답니다.	2
113	다음날 닐스는 산 속에서 울고 있는 길 잃은 아기 다람쥐에게 엄마를 찾아 주었어요.	1
114	"""닐스, 너는 정말 착한 아이구나!"""	1
115	엄마 다람쥐는 닐스를 칭찬해 주었지요.	1
116	그런데 숲 속 길을 걷던 닐스에게 또다시 여우가 다가왔어요.	0
117	"""이 녀석, 내 일을 방해했었지."	2
118	"가만두지 않겠어!"""	2
119	"""어이쿠, 저 무서운 발톱 좀 봐!"""	2
120	닐스는 너무 무서워서 소리를 지르며 도망쳤지요.	2
121	그때 근처에 있던 거위와 그의 친구들이 이를 보고 달려와 날카로운 부리로 여우를 쪼아댔어요.	2
122	"""고마워! 너희 덕에 목숨을 구할 수 있었어!"""	1
123	닐스는 거위와 우정을 쌓으면서 함께 이곳저곳을 여행했습니다.	1
124	그러나 시간이 지날수록 닐스는 집이 그리워졌어요.	1
125	"""엄마와 아빠가 보고 싶어!"""	1
126	그러자 거위는 닐스를 태워 집에 보내 주었답니다.	1
127	어느새 낯익은 집과 마을이 보였어요.	1
128	"""엄마 아빠, 제가 돌아왔어요!"""	1
129	닐스는 대문을 열며 큰 소리로 외쳤지요.	0
130	그러자 신기하게도 닐스의 몸이 다시 원래대로 돌아왔어요.	1
131	그 후로 닐스는 착한 아이가 되었답니다.	1
132	아름다운 숲이 있는 어느 시골에 남매가 살고 있었어요.	0
133	나이가 지긋한 오빠 매슈와 동생인 마릴라는 서로 의지하며 지냈어요.	1
134	"매슈는 농장 일을 하였고, 마릴라는 집안일을 맡아 했지요."	1
135	매슈와 마릴라는 서로를 무척 아껴 주었답니다.	1
136	어느 날 매슈가 혼자 농장에서 일을 하고 있었어요.	0
137	물을 길어 오던 마릴라가 매슈에게 말했답니다.	0
138	"""오빠, 많이 힘드시죠?"""	1
139	"""괜찮다! 아직 이 정도는 끄떡없어."""	1
140	"""아니에요. 오빠도 나이가 드셨으니 힘드실 거예요."	2
141	"일하는 사람을 한 명 구하면 어떨까요?"""	1
142	동생 마릴라는 오빠가 걱정되었어요.	2
143	"""그럼, 그렇게 하자꾸나!"""	1
144	매슈는 동생의 걱정이 날이 갈수록 심해지자 마릴라의 뜻대로 하기로 했어요.	2
145	"""그래, 마릴라야!"	1
146	"알렉산도 부인에게 부탁해서 일을 도와줄 남자 아이를 구해보자."""	1
147	"""네, 그게 좋겠어요."""	1
148	남매는 그 길로 알렉산더 부인을 찾아가 남자 아이를 구해 달라고 부탁했어요.	1
149	그렇게 며칠이 지났어요.	0
150	"""오빠, 역에 나가면 알렉산더 부인에게 부탁했던 남자 아이가 와 있을 거예요."""	0
151	"""그래? 내가 마중을 나가 보마."""	1
152	매슈는 마차를 끌고 역으로 갔지요.	0
153	역에 도착한 매슈는 남자 아이를 찾아보았지만 어디에도 없었답니다.	2
154	그런데 그때 빨간 머리의 주근깨 소녀가 매슈에게 다가왔어요.	0
155	"""혹시 매슈 아저씨세요?"	0
156	저는 앤이라고 해요.	0
157	"알렉산더 부인의 소개를 받고 왔습니다."""	1
158	매슈는 당황스러웠어요.	2
159	이를 어쩐다!	2
160	"알렉산더 부인이 잘못 알고 여자 아이를 보내셨군."""	2
161	매슈는 망설이다가 앤을 집으로 데려가기로 했어요.	0
162	"""앤! 마차에 올라타라."""	0
163	앤은 마차를 타고 가면서 쉴새없이 재잘거렸어요.	0
164	매슈는 그런 앤이 명랑해 보여서 마음에 들었습니다.	1
165	"""마릴라, 일할 아이를 데려왔다."""	0
166	"""어머, 이 아이는 여자 아이잖아요?"""	0
167	마릴라가 깜짝 놀라며 매슈에게 말했어요.	0
168	"""아무래도 알렉산더 부인이 착각을 한 모양이구나!"""	2
169	"""그럼, 내일 제가 이 아이를 데려다 줄게요."""	0
170	그러자 앤이 마릴라에게 말했어요.	0
171	"""아주머니, 일을 열심히 할 테니 이 집에 있게 해 주세요."""	1
172	"""안 돼!"	2
173	"우리는 남자 아이가 필요해."""	2
174	앤이 눈물을 글썽이며 말했지만 소용이 없었어요.	2
175	다음 날 아침이 되자 마릴라는 앤을 데리고 알렉산더 부인의 집으로 갔습니다.	0
176	"""알렉산더 부인, 저희는 남자 아이를 원했습니다만….."""	2
177	마침 그곳에는 다른 부인도 와 있었습니다.	0
178	그 부인도 앤을 보자마자 무섭게 말했어요.	2
179	"""네가 우리 집에서 일 할 아이로구나."	0
180	"우리 집에서는 절대 게으름을 피우면 안 된다.!"""	2
181	앤은 무서운 부인의 모습을 보다 겁이 났어요.	2
182	그 부인의 집에서 힘들게 생활할 앤을 생각하니 마릴라는 앤이 가엾어졌어요.	1
183	"""앤은 우리와 함께 지낼 거예요."	1
184	"저는 단지 어찌된 일인지 확인하고 싶었을 뿐입니다."""	0
185	그렇게 해서 앤은 마릴라의 집으로 가게 되었지요.	0
186	매슈는 집으로 돌아온 앤을 반갑게 맞았어요.	1
187	저녁 식사를 하면서 앤은 매슈와 마릴라에게 고아원에서 지냈던 이야기를 해 주었습니다.	2
188	"""앤, 오늘은 피곤할 테니 그만 올라가서 자라."""	2
189	마릴라는 앤이 불쌍했어요.	2
190	"""오빠, 앤은 착한 아이인 것 같아요."	1
191	"앞으로 학교도 보내주고 우리가 잘 키우도록 해요."""	1
192	그렇게 하여 앤은 행복한 날들을 보내게 되었어요.	1
193	그러던 어느 날 옆집에 다이애나라는 여자 아이가 이사를 왔습니다.	0
194	"""안녕, 나는 앤이라고 해!"""	1
195	"""나는 다이애나야."	0
196	"앞으로 친하게 지내자!"""	1
197	둘은 금세 친한 친구가 되었어요.	1
198	새 학기가 되어 앤이 학교에 가게 되었어요.	1
199	앤은 많은 친구들을 사귀었지요.	1
200	친구들은 앤의 착하고 명랑한 성격을 좋아했답니다.	1
201	하지만 장난꾸러기 길버트는 짓궃은 장난으로 앤을 놀래키기도 했어요.	2
202	길버트는 앤을 좋아하는 마음에 장난을 쳤지요.	1
203	한번은 길버트가 앤의 머리를 잡아당기며 놀렸어요.	2
204	"""앤은 빨간 머리 홍당무래요~."""	0
205	그러자 화가 난 앤이 책으로 길버트를 때렸어요.	2
206	"""아야, 아파!"""	2
207	"""또 그런 말하면 가만두지 않을 거야!"""	2
208	앤은 자꾸 놀리는 길버트가 몹시 얄미웠지요.	2
209	그 후 길버트가 앤에게 여러 번 사과를 했지만 받아주지 않았어요.	2
210	하루는 앤과 다이애나가 학교를 마치고 집으로 가는 길이었습니다.	0
211	"""다이애나, 우리 집에 가서 놀지 않을래?"""	1
212	"""좋아, 그렇게 하자!"""	1
213	둘은 곧장 앤의 집으로 갔습니다.	0
214	"""다이애나, 목마르지?"	0
215	"내가 마실 것 좀 가져올게."""	1
216	앤이 주스를 가져와 다이애나에게 건넸지요.	0
217	"""앤, 이 주스 너무 맛있다."""	1
218	앤은 다이애나의 잔에 주스를 더 따라 주었어요.	0
219	그런데 다이애나가 졸립다며 집으로 가겠다고 했어요.	0
220	그 주스는 다름 아닌 포도주였답니다.	0
221	화가 난 다이애나의 어머니가 앤을 꾸짖었어요.	2
222	"""친구에게 술을 먹이다니…,"	2
223	"너는 나쁜 아이구나!"""	2
224	"""술이요?"	0
225	"저는 다이애나에게 주스를 주었어요."""	1
226	"""주스라고?"	0
227	다이애나가 마신 것은 포도주였어.	0
228	"앞으로는 다이애나와 놀 생각하지 마라."""	2
229	앤은 며칠 동안 다이애나를 볼 수 없었습니다.	2
230	그러던 어느 날이었어요.	0
231	누군가가 앤의 집 문을 두드렸어요.	0
232	앤이 문을 열어 보니 다이애나가 서 있었지요.	0
